DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Hartigan,,,,107991,08/16/2013 12:00:00 AM,19.0,26.0,22.2,,,,,,
,,Hartigan,,,,114080,08/31/2016 09:40:00 AM,58.0,66.0,61.9,,1,08/31/2016 09:41:00 AM,,,
,,Marion Mahony Griffin,,,,98878,07/27/2007 12:00:00 AM,20.3,19.7,20.0,,,,,,
1030,07/03/2016 12:13:00 PM,Calumet,18.0,31.0,23.6,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,Hartigan,,,,104550,06/13/2006 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,Margaret T Burroughs,,,,98887,07/28/2007 12:00:00 AM,1119.9,816.4,956.2,,,,,,
,,Margaret T Burroughs,,,,108458,09/04/2015 12:00:00 AM,44.0,15.0,25.7,,,,,,
,,Margaret T Burroughs,,,,111248,06/26/2013 12:00:00 AM,11.0,12.0,11.5,,,,,,
,,Margaret T Burroughs,,,,92366,08/03/2009 12:00:00 AM,3.0,13.5,6.4,,,,,,
2295,05/26/2017 12:32:00 PM,Osterman,26.0,54.0,37.5,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,Hartigan,,,,100663,08/14/2007 12:00:00 AM,2419.6,2419.6,2419.6,,,,,,
,,Hartigan,,,,96965,08/23/2011 12:00:00 AM,7.5,16.1,11.0,,,,,,
,,Hartigan,,,,87549,06/18/2010 12:00:00 AM,4.1,5.2,4.6,,,,,,
,,Hartigan,,,,92051,08/24/2009 12:00:00 AM,1.0,10.8,3.3,,,,,,
,,Hartigan,,,,88616,08/02/2010 12:00:00 AM,2.0,4.1,2.9,,,,,,
,,Hartigan,,,,96718,07/22/2011 12:00:00 AM,298.7,54.8,127.9,,,,,,
,,Columbia,,,,97807,07/14/2006 12:00:00 AM,33.2,10.9,19.0,,,,,,
,,Marion Mahony Griffin,,,,99646,05/28/2008 12:00:00 AM,38.4,35.5,36.9,,,,,,
